sample	population	continental_group	cohort	hg_short	hg_long
HG01261	CLM	AMR	hprc	R1b	R1b1a1b1a1a2a1a1a1a
HG01358	CLM	AMR	hprc	R1b	R1b1a1b1a1a2b1a1
HG01433	CLM	AMR	hprc	J1	J1a2a1a2
HG01457	CLM	AMR	hgsvc	E1b1b	E1b1b1b2a1a4
HG01505	IBS	EUR	hgsvc	R1b	R1b1a1b1a1a2c1a4b2d1
HG01530	IBS	EUR	hprc	T1	T1a2b1a1
HG01596	KHV	EAS	hgsvc	O2a1	O2a1b1a1a1a1c
HG01890	ACB	AFR	hgsvc	A0	A0b
HG01928	PEL	AMR	hprc	Q1b	Q1b1a1a
HG01934	PEL	AMR	hprc	R1b	R1b1a1b1a1a2a1a1a1a1
HG01943	PEL	AMR	hprc	R1b	R1b1a1b1a1a2b
HG01952	PEL	AMR	hprc	Q1b	Q1b1a1a
HG02011	ACB	AFR	hgsvc	E1b1a	E1b1a1a1a1c1b
HG02015	KHV	EAS	hprc	O1a	O1a1a1b1b
HG02027	KHV	EAS	hprc	O2a1	O2a1a1a
HG02040	KHV	EAS	hprc	F	F
HG02055	ACB	AFR	hprc	E1b1a	E1b1a1a1a2a1a3b1a
HG02056	KHV	EAS	hprc	O2a2b	O2a2b1a2a1a
HG02071	KHV	EAS	hprc	O2a2a	O2a2a1a2a1a1
HG02074	KHV	EAS	hprc	O1b	O1b1a2c
HG02083	KHV	EAS	hprc	O1b	O1b1a1a1a1a1b2
HG02129	KHV	EAS	hprc	O2a2a	O2a2a1a2a1b
HG02132	KHV	EAS	hprc	Q1a	Q1a1a
HG02135	KHV	EAS	hprc	O2a2a	O2a2a1a2a1b
HG02145	ACB	AFR	hprc	E1b1a	E1b1a1a1a2a1
HG02258	ACB	AFR	hprc	E1b1a	E1b1a1a1a2a1
HG02391	CDX	EAS	hprc	O2a2b	O2a2b1a1a1
HG02392	CDX	EAS	hprc	O2a1	O2a1b2
HG02486	ACB	AFR	hprc	E1b1a	E1b1a1a1a1c1a1a_father
HG02492	PJL	SAS	hgsvc	J2a	J2a1a1a2a2b
HG02514	KHV	EAS	hprc	O1b	O1b1a1a1a1a1a1a1a1a1
HG02554	ACB	AFR	hgsvc	E1b1a	E1b1a1a1a2a1
HG02572	GWD	AFR	hprc	E1a	E1a2b1a2
HG02602	PJL	SAS	hprc	R1a	R1a1a1b2a1a2c
HG02647	GWD	AFR	hprc	A1	A1a
HG02666	GWD	AFR	hgsvc	A1	A1a
HG02668	GWD	AFR	hprc	A1	A1a
HG02698	PJL	SAS	hprc	Q1a	Q1a2a
HG02717	GWD	AFR	hprc	E1b1a	E1b1a1a1a1c2c3a2a
HG02735	PJL	SAS	hprc	J2a	J2a1a
HG02738	PJL	SAS	hprc	R1a	R1a1a1b2a1a2c
HG02953	ESN	AFR	hgsvc	E1b1a	E1b1a1a1a2a1
HG02965	ESN	AFR	hprc	E1b1a	E1b1a1a1a1c1a1a
HG02984	GWD	AFR	hprc	A0	A0a1
HG03009	BEB	SAS	hgsvc	H1	H1a1a4b2c1a1a
HG03017	PJL	SAS	hprc	R2	R2
HG03050	GWD	AFR	hprc	E1a	E1a2a1a2
HG03065	MSL	AFR	hgsvc	E1b1a	E1b1a1b1
HG03098	MSL	AFR	hprc	E1a	E1a2a1
HG03130	ESN	AFR	hprc	E1b1a	E1b1a1a1a2a1
HG03139	ESN	AFR	hprc	E1b1a	E1b1a1a1a1c1a1a3a1
HG03209	MSL	AFR	hprc	E1b1a	E1b1a1a1a2a1a3b1a
HG03225	MSL	AFR	hprc	B3	B3
HG03248	GWD	AFR	hgsvc	E1a	E1a2b1a1a1
HG03371	ESN	AFR	hgsvc	E1b1a	E1b1a1a1a1c1a1a3c1b
HG03471	MSL	AFR	hprc	E1b1a	E1b1a1a1a1c_father
HG03492	PJL	SAS	hprc	R1a	R1a1a1b2a1a2c
HG03521	ESN	AFR	hprc	E1b1a	E1b1a1a1a2a1
HG03579	MSL	AFR	hprc	G2	G2a2b2a1a1c1a1a2a1
HG03654	PJL	SAS	hprc	Q2b	Q2b1a1
HG03688	STU	SAS	hprc	L1	L1a1
HG03710	PJL	SAS	hprc	G2	G2a1a2a
HG03732	ITU	SAS	hgsvc	R2	R2
HG03742	ITU	SAS	hprc	NO	NO[K2a]
HG03942	BEB	SAS	hprc	H1	H1a1a4b2
HG04115	STU	SAS	hprc	R1a	R1a1a1b2a1a2c
HG04157	BEB	SAS	hprc	C1b	C1b1a1a2a1
HG04160	BEB	SAS	hprc	R2	R2
HG04187	BEB	SAS	hprc	H1	H1a1a4b2a1
HG04199	STU	SAS	hprc	L1	L1a1
HG04204	STU	SAS	hprc	R1a	R1a1a1b2a1a2c
HG04228	STU	SAS	hprc	R1a	R1a1a1b2a1a1a
NA12877	CEU	EUR	ceph	R1b	R1b1a1b1a1a2e2
NA12882	CEU	EUR	ceph	R1b	R1b1a1b1a1a2e2
NA12883	CEU	EUR	ceph	R1b	R1b1a1b1a1a2e2
NA12884	CEU	EUR	ceph	R1b	R1b1a1b1a1a2e2
NA12886	CEU	EUR	ceph	R1b	R1b1a1b1a1a2e2
NA18522	YRI	AFR	hprc	E1b1a	E1b1a1a1a2a1a3b1a
NA18534	CHB	EAS	hgsvc	O1b	O1b1a2b1a
NA18608	CHB	EAS	hprc	N1	N1a2b2a1c~
NA18612	CHB	EAS	hprc	C2	C2b1a2b
NA18620	CHB	EAS	hprc	C2	C2b1a2a1a1
NA18747	CHB	EAS	hprc	N1	N1a2b2a1c~
NA18879	YRI	AFR	hprc	E1b1a	E1b1a1a1a2a1
NA18952	JPT	EAS	hprc	D1	D1a2a1c1
NA18971	JPT	EAS	hprc	C1a	C1a1a1b
NA18974	JPT	EAS	hprc	C1a	C1a1a1b
NA18983	JPT	EAS	hprc	D1	D1a2a1a2b1~
NA18989	JPT	EAS	hgsvc	C1a	C1a1a1a1a
NA19043	LWK	AFR	hprc	B2	B2a1a1a1
NA19239	YRI	AFR	hgsvc	E1a	E1a2a1a1a
NA19317	LWK	AFR	hgsvc	E1b1a	E1b1a1a1a1c1a1a3a1
NA19331	LWK	AFR	hgsvc	E1b1b	E1b1b1b2b2a1
NA19347	LWK	AFR	hgsvc	E1b1a	E1b1a1a1a1c1a1a3a1
NA19384	LWK	AFR	hgsvc	B2	B2b1
NA19443	LWK	AFR	hprc	E1b1a	E1b1a1a1a1c1a1a3a1
NA19650	MXL	AMR	hgsvc	R1b	R1b1a1b1a1a2b1a1
NA19682	MXL	AMR	hprc	Q1b	Q1b1a1a
NA19700	ASW	AFR	hprc	E1b1a	E1b1a1a1a2a1a3b1a
NA19705	ASW	AFR	hgsvc	E1b1a	E1b1a1a1a2a1a3b1a1
NA20346	ASW	AFR	hprc	E1b1a	E1b1a1a1a2a
NA20509	TSI	EUR	hgsvc	R1b	R1b1a1b1a1a2b1a1
NA20752	TSI	EUR	hprc	R1b	R1b1a1b1a1a2a1a2
NA20805	TSI	EUR	hprc	J2a	J2a1a1b2a1b1
NA20809	TSI	EUR	hprc	J2a	J2a1a1b2a1b1
NA20850	GIH	SAS	hprc	R1a	R1a1a1b2a1a2c
NA20870	GIH	SAS	hprc	G1	G1a1a1b
NA20905	GIH	SAS	hprc	J2b	J2b2a
NA21093	GIH	SAS	hprc	H1	H1a1b1a
